DATE,max_temp,mean_temp,min_temp,station_pressure,x_month,Year,decimal_day_of_year,date_time,class_month,TOD,TOY
1998-05-31 00:00:00,60.5,48.6,36.6,29.27,5,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-10-31 00:00:00,34.3,26.0,17.6,29.27,10,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-09-30 00:00:00,53.9,45.1,36.2,29.28,9,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-07-31 00:00:00,70.5,60.5,50.4,29.44,7,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-11-30 00:00:00,16.9,9.0,1.1,29.21,11,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-03-31 00:00:00,33.2,21.3,9.3,29.33,3,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-06-30 00:00:00,67.6,56.6,45.6,29.5,6,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1998-02-28 00:00:00,14.0,3.5,-7.1,29.04,2,1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1999-02-28 00:00:00,-0.4,-12.6,-24.9,29.21,2,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-03-31 00:00:00,19.8,7.0,-5.8,29.24,3,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-05-31 00:00:00,57.8,46.0,34.2,29.38,5,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-06-30 00:00:00,71.4,59.0,46.6,29.34,6,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-08-31 00:00:00,67.2,56.6,46.0,29.33,8,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-09-30 00:00:00,55.2,44.5,33.8,29.29,9,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-11-30 00:00:00,4.5,-3.9,-12.3,29.21,11,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
1999-01-31 00:00:00,0.4,-11.9,-24.2,29.43,1,1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
